ticket_id,created_at,category,priority,channel,customer_tier,first_response_minutes,resolution_minutes,status,escalated,refund_requested,refund_amount,csat_score
TCK-10103,2026-03-13T07:40:00,Other,Normal,Chat,Free,43.83,278.13,Resolved,False,False,,3.00
TCK-10104,2026-03-21T09:27:00,Account,Low,Chat,Free,21.76,113.87,Closed,False,False,,
TCK-10105,2025-08-14T12:06:00,Returns,Low,Email,Free,17.22,210.29,Pending,False,False,,3.00
TCK-10106,2026-04-18T11:23:00,Shipping,Normal,Email,Free,35.46,121.06,Closed,False,False,,3.00
TCK-10107,2025-08-09T17:15:00,Billing,Low,Email,Free,34.67,414.30,Closed,False,False,,4.00
TCK-10108,2026-06-13T10:41:00,Billing,Normal,Email,Free,67.45,275.28,Resolved,False,False,,4.00
TCK-10109,2026-05-09T16:55:00,Billing,High,Phone,Pro,31.20,173.76,Closed,True,False,,3.00
TCK-10110,2026-03-13T11:59:00,Billing,High,Chat,Pro,81.87,358.07,Closed,True,False,,
TCK-10111,2026-03-11T19:26:00,Returns,Urgent,Email,Pro,44.23,533.58,Closed,False,True,177.38,
TCK-10112,2025-09-15T13:34:00,Account,Normal,Web,Pro,22.01,85.82,Open,False,False,,
TCK-10113,2026-06-29T16:53:00,Other,High,Email,Free,12.65,172.18,Resolved,False,False,,4.00
TCK-10114,2026-04-26T09:28:00,Shipping,Urgent,Chat,Pro,48.26,423.89,Closed,True,False,,
TCK-10115,2025-10-22T09:37:00,Billing,Low,Web,Pro,25.91,287.32,Pending,False,False,,3.00
TCK-10116,2026-05-09T12:11:00,Shipping,Normal,Chat,Free,17.18,177.88,Resolved,False,False,,3.00
TCK-10117,2026-01-31T15:24:00,Billing,Normal,Chat,Free,36.24,291.21,Closed,False,True,201.92,5.00
TCK-10118,2026-07-13T14:11:00,Account,Normal,Chat,Pro,43.85,184.14,Resolved,False,False,,4.00
TCK-10119,2026-06-28T12:19:00,Account,Urgent,Chat,Pro,16.30,230.95,Closed,False,False,,5.00
TCK-10120,2026-03-26T12:40:00,Billing,High,Chat,Enterprise,47.24,239.31,Resolved,False,True,114.43,4.00
TCK-10121,2025-09-02T17:14:00,Technical,High,Chat,Free,181.88,901.44,Resolved,False,False,,
TCK-10122,2026-04-11T07:15:00,Returns,Urgent,Phone,Free,124.36,1027.70,Resolved,False,True,382.06,2.00
TCK-10123,2025-12-30T14:43:00,Returns,High,Email,Free,53.15,1018.35,Resolved,False,True,463.42,3.00
TCK-10124,2025-12-30T10:28:00,Technical,Normal,Web,Pro,32.09,185.73,Resolved,False,False,,5.00
TCK-10125,2026-07-04T08:13:00,Returns,Urgent,Email,Free,226.80,1008.60,Resolved,False,False,,1.00
TCK-10126,2025-09-27T10:39:00,Account,Urgent,Chat,Enterprise,33.67,291.34,Pending,False,False,,
TCK-10127,2025-10-13T18:48:00,Billing,Normal,Email,Pro,47.62,265.20,Resolved,False,True,372.45,4.00
TCK-10128,2026-06-12T07:21:00,Returns,Low,Chat,Pro,48.32,779.33,Open,False,True,428.78,5.00
TCK-10129,2026-02-04T10:54:00,Technical,High,Chat,Enterprise,204.32,959.69,Pending,False,False,,4.00
TCK-10130,2026-06-16T18:46:00,Billing,Low,Chat,Pro,20.57,93.32,Pending,False,False,,
TCK-10131,2025-10-27T14:27:00,Technical,Low,Chat,Pro,21.54,243.15,Resolved,True,False,,
TCK-10132,2026-02-10T15:33:00,Account,Normal,Email,Free,30.05,102.85,Resolved,False,False,,5.00
TCK-10133,2026-05-06T18:51:00,Account,Low,Email,Pro,,104.96,Resolved,False,False,,2.00
TCK-10134,2026-02-13T15:33:00,Shipping,Normal,Chat,Pro,30.60,150.13,Resolved,False,False,,3.00
TCK-10135,2026-05-08T08:01:00,Shipping,Low,Web,Free,62.45,349.27,Resolved,False,False,,4.00
TCK-10136,2025-10-03T14:51:00,Billing,Normal,Chat,Free,21.12,180.87,Open,False,False,,
TCK-10137,2026-02-28T16:28:00,Account,Normal,Email,Pro,36.40,150.86,Closed,False,False,,3.00
TCK-10138,2025-09-29T08:12:00,Technical,High,Web,Enterprise,68.30,551.53,Closed,False,False,,3.00
TCK-10139,2026-03-26T09:55:00,Billing,Normal,Chat,Free,18.94,144.99,Open,False,False,,
TCK-10140,2026-07-30T10:49:00,Billing,Normal,Email,Enterprise,54.59,321.85,Resolved,True,False,,
TCK-10141,2026-02-14T15:32:00,Shipping,Low,Web,Free,40.50,152.73,Resolved,False,False,,4.00
TCK-10142,2025-12-25T15:08:00,Technical,Low,Chat,Free,19.43,126.13,Resolved,False,False,,3.00
TCK-10143,2026-04-29T09:32:00,Billing,Low,Chat,Free,26.97,269.15,Closed,False,True,267.92,3.00
TCK-10144,2026-04-13T08:40:00,Returns,Normal,Web,Free,882.48,5032.83,Closed,True,True,183.29,3.00
TCK-10145,2026-04-20T17:12:00,Shipping,High,Email,Enterprise,74.55,327.47,Resolved,True,False,,
TCK-10146,2026-04-13T15:57:00,Account,High,Web,Free,26.29,191.68,Resolved,False,False,,3.00
TCK-10147,2025-09-29T15:05:00,Billing,Low,Email,Enterprise,46.62,464.10,Resolved,False,False,,5.00
TCK-10148,2025-09-03T14:49:00,Returns,Normal,Chat,Pro,75.12,905.34,Resolved,True,False,,3.00
TCK-10149,2025-08-29T16:12:00,Billing,Normal,Email,Enterprise,39.21,360.84,Resolved,False,False,,5.00
TCK-10150,2026-03-19T13:52:00,Technical,Normal,Phone,Pro,54.01,449.78,Resolved,False,False,,3.00
TCK-10151,2025-08-04T13:55:00,Billing,Low,Email,Free,66.24,214.92,Closed,False,False,,3.00
TCK-10152,2026-07-19T17:03:00,Shipping,High,Email,Enterprise,93.42,415.76,Closed,False,False,,5.00
TCK-10153,2025-11-15T11:21:00,Other,Low,Phone,Free,30.28,217.61,Closed,False,False,,4.00
TCK-10154,2026-07-28T08:52:00,Technical,Low,Chat,Free,49.79,164.92,Pending,False,False,,
TCK-10155,2026-02-12T17:47:00,Billing,Normal,Chat,Free,132.71,892.24,Pending,False,False,,4.00
TCK-10156,2026-03-19T07:45:00,Technical,Normal,Chat,Free,810.68,5444.11,Pending,False,False,,5.00
TCK-10157,2026-03-31T13:25:00,Shipping,Low,Web,Pro,27.40,295.87,Closed,True,False,,4.00
TCK-10158,2026-05-03T10:15:00,Returns,Low,Email,Pro,121.55,497.51,Resolved,False,False,,1.00
TCK-10159,2026-02-21T11:16:00,Returns,Low,Chat,Free,122.21,670.49,Resolved,False,True,181.73,5.00
TCK-10160,2025-10-09T11:41:00,Account,Normal,Email,Free,,110.28,Pending,False,False,,4.00
TCK-10161,2026-06-27T11:38:00,Billing,Low,Chat,Pro,,306.56,Resolved,True,True,38.40,
TCK-10162,2025-08-24T07:06:00,Billing,High,Chat,Free,33.83,541.91,Closed,False,False,,4.00
TCK-10163,2026-07-24T08:21:00,Account,Urgent,Web,Pro,47.41,431.34,Resolved,False,False,,5.00
TCK-10164,2025-10-16T15:53:00,Billing,Normal,Email,Enterprise,49.24,129.73,Closed,False,False,,4.00
TCK-10165,2026-06-13T18:31:00,Billing,Normal,Chat,Free,42.50,330.34,Open,True,False,,
TCK-10166,2025-10-27T16:18:00,Billing,Urgent,Web,Free,84.95,449.86,Pending,False,False,,
TCK-10167,2026-05-01T07:30:00,Returns,Low,Email,Pro,110.67,576.84,Closed,False,True,452.49,4.00
TCK-10168,2026-04-16T18:50:00,Billing,Normal,Chat,Free,27.22,101.69,Closed,False,False,,4.00
TCK-10169,2026-07-01T07:33:00,Account,High,Chat,Pro,40.58,156.59,Closed,False,False,,4.00
TCK-10170,2026-06-26T15:00:00,Billing,Normal,Email,Free,68.64,365.04,Closed,False,False,,2.00
TCK-10171,2026-07-09T12:43:00,Technical,Urgent,Chat,Pro,73.00,951.85,Closed,True,False,,5.00
TCK-10172,2026-07-13T07:17:00,Billing,Low,Email,Enterprise,59.48,364.25,Open,True,False,,3.00
TCK-10173,2026-03-01T15:36:00,Shipping,High,Web,Pro,90.16,488.13,Resolved,True,False,,4.00
TCK-10174,2026-07-27T12:01:00,Technical,Normal,Chat,Pro,77.08,315.64,Pending,False,False,,4.00
TCK-10175,2026-06-20T15:11:00,Returns,High,Phone,Pro,52.55,580.31,Resolved,False,True,138.88,5.00
TCK-10176,2026-02-10T11:35:00,Account,Normal,Phone,Free,25.08,164.69,Resolved,False,False,,3.00
TCK-10177,2026-01-16T18:50:00,Shipping,Normal,Web,Pro,61.07,227.27,Resolved,False,False,,4.00
TCK-10178,2025-09-26T13:01:00,Returns,Normal,Email,Pro,95.78,608.79,Resolved,False,True,77.75,4.00
TCK-10179,2025-12-07T14:19:00,Account,Normal,Chat,Free,31.56,246.21,Closed,False,False,,3.00
TCK-10180,2026-05-08T12:10:00,Billing,High,Email,Free,69.50,310.71,Closed,False,False,,2.00
TCK-10181,2026-04-05T10:35:00,Billing,Urgent,Phone,Free,116.93,605.96,Closed,True,False,,
TCK-10182,2026-04-04T14:32:00,Technical,High,Email,Free,49.82,552.59,Resolved,True,False,,
TCK-10183,2026-02-14T18:20:00,Returns,Low,Phone,Free,32.43,341.55,Closed,False,True,50.08,3.00
TCK-10184,2026-06-30T18:11:00,Account,High,Email,Free,44.43,338.20,Resolved,False,False,,4.00
TCK-10185,2025-08-03T09:18:00,Technical,High,Phone,Free,34.00,290.68,Closed,False,False,,4.00
TCK-10186,2026-03-14T19:36:00,Technical,Low,Phone,Free,65.48,499.89,Resolved,False,False,,4.00
TCK-10187,2025-12-31T09:39:00,Billing,Low,Chat,Free,134.11,504.21,Closed,False,False,,4.00
TCK-10188,2026-04-13T11:05:00,Billing,Normal,Chat,Pro,,240.06,Closed,False,False,,4.00
TCK-10189,2026-05-23T12:31:00,Billing,Normal,Chat,Pro,75.00,342.98,Pending,False,False,,4.00
TCK-10190,2026-06-24T16:50:00,Billing,Normal,Email,Free,49.01,254.82,Resolved,False,False,,4.00
TCK-10191,2026-01-05T15:14:00,Billing,High,Phone,Pro,66.38,431.12,Resolved,False,False,,3.00
TCK-10192,2025-12-23T16:22:00,Shipping,High,Web,Pro,90.50,371.45,Resolved,True,False,,
TCK-10193,2025-12-24T09:20:00,Billing,Normal,Chat,Free,73.46,446.16,Resolved,False,False,,4.00
TCK-10194,2025-08-14T13:28:00,Technical,Normal,Chat,Free,64.42,427.54,Closed,False,False,,3.00
TCK-10195,2026-03-09T19:13:00,Shipping,Normal,Web,Free,15.98,159.72,Closed,False,False,,4.00
TCK-10196,2026-06-26T14:44:00,Billing,Normal,Web,Free,28.49,249.93,Closed,False,False,,4.00
TCK-10197,2025-11-04T16:46:00,Billing,High,Web,Pro,61.82,497.70,Resolved,False,False,,5.00
TCK-10198,2026-05-27T11:15:00,Account,High,Web,Pro,20.46,144.50,Resolved,False,False,,3.00
TCK-10199,2026-04-02T14:59:00,Returns,Normal,Email,Enterprise,35.74,791.76,Open,False,True,228.96,2.00
TCK-10200,2026-06-23T09:27:00,Other,Normal,Web,Free,41.86,176.52,Closed,True,False,,4.00
TCK-10201,2026-05-28T13:23:00,Account,Low,Email,Free,29.87,103.52,Closed,False,False,,3.00
TCK-10202,2025-10-31T18:41:00,Technical,Normal,Email,Free,32.28,235.04,Closed,False,False,,3.00
TCK-10203,2026-02-24T14:37:00,Billing,Low,Chat,Free,31.61,90.09,Closed,False,False,,4.00
TCK-10204,2025-09-03T09:09:00,Account,Low,Phone,Free,15.29,172.58,Resolved,False,False,,4.00
TCK-10205,2026-01-21T19:37:00,Shipping,High,Email,Free,104.25,632.50,Closed,True,False,,4.00
TCK-10206,2026-03-05T08:35:00,Other,Low,Email,Free,30.09,109.26,Resolved,False,False,,5.00
TCK-10207,2026-06-14T13:37:00,Returns,Low,Web,Pro,178.71,1433.57,Closed,False,True,345.55,3.00
TCK-10208,2025-08-11T17:31:00,Account,High,Chat,Free,48.12,265.18,Resolved,False,False,,5.00
TCK-10209,2026-07-02T15:21:00,Technical,High,Phone,Enterprise,32.82,410.19,Pending,True,False,,
TCK-10210,2026-02-21T14:03:00,Technical,Low,Phone,Pro,37.35,238.17,Pending,False,False,,3.00
TCK-10211,2026-01-27T19:46:00,Billing,Normal,Email,Free,78.34,455.63,Resolved,False,True,367.02,4.00
TCK-10212,2026-06-10T09:19:00,Technical,High,Phone,Pro,45.39,326.93,Resolved,False,False,,1.00
TCK-10213,2026-04-07T09:50:00,Returns,Normal,Email,Free,52.36,513.42,Closed,False,True,64.77,4.00
TCK-10214,2026-01-15T18:58:00,Technical,Low,Web,Free,50.19,220.32,Closed,False,False,,3.00
TCK-10215,2026-06-08T16:47:00,Account,Normal,Chat,Enterprise,22.61,122.16,Open,False,False,,4.00
TCK-10216,2025-11-06T13:00:00,Technical,Low,Email,Pro,128.59,550.68,Closed,False,False,,4.00
TCK-10217,2025-10-11T16:10:00,Technical,Low,Web,Enterprise,87.05,817.52,Closed,False,False,,2.00
TCK-10218,2025-09-25T12:44:00,Account,Low,Web,Free,19.87,137.83,Closed,False,False,,2.00
TCK-10219,2026-04-22T09:49:00,Account,Low,Web,Free,23.65,116.59,Resolved,False,False,,5.00
TCK-10220,2026-06-16T16:57:00,Shipping,Low,Email,Enterprise,32.84,217.55,Closed,True,False,,
TCK-10221,2026-04-06T15:38:00,Account,Normal,Web,Pro,25.50,103.09,Resolved,False,False,,4.00
TCK-10222,2026-05-20T19:17:00,Returns,Normal,Chat,Pro,61.47,456.97,Closed,False,True,406.37,
TCK-10223,2025-09-12T13:05:00,Shipping,Normal,Email,Enterprise,63.92,309.10,Pending,True,False,,
TCK-10224,2025-11-19T16:44:00,Shipping,Normal,Email,Free,523.93,2602.11,Resolved,False,False,,4.00
TCK-10225,2025-08-16T17:57:00,Other,Normal,Email,Free,40.26,270.27,Closed,False,False,,
TCK-10226,2026-07-31T13:35:00,Shipping,Normal,Email,Free,44.11,244.62,Resolved,False,False,,3.00
TCK-10227,2026-01-04T17:33:00,Account,Normal,Web,Free,47.00,267.91,Resolved,False,False,,3.00
TCK-10228,2026-05-24T09:38:00,Billing,Normal,Email,Pro,30.32,251.36,Closed,False,False,,3.00
TCK-10229,2026-05-20T16:23:00,Technical,Normal,Email,Enterprise,53.03,179.52,Closed,False,False,,3.00
TCK-10230,2025-12-09T18:50:00,Shipping,Urgent,Chat,Enterprise,64.67,269.09,Pending,False,False,,4.00
TCK-10231,2026-06-30T12:27:00,Other,Normal,Chat,Free,19.18,159.91,Pending,False,False,,3.00
TCK-10232,2026-04-21T18:45:00,Billing,Normal,Phone,Enterprise,24.15,227.34,Closed,False,False,,4.00
TCK-10233,2026-03-18T18:01:00,Technical,Normal,Web,Pro,46.07,403.82,Resolved,False,False,,3.00
TCK-10234,2025-11-16T15:35:00,Technical,Normal,Chat,Pro,79.15,554.03,Open,True,False,,4.00
TCK-10235,2025-08-30T10:58:00,Billing,Normal,Web,Pro,65.21,289.33,Open,False,False,,5.00
TCK-10236,2025-12-23T13:37:00,Account,Urgent,Chat,Free,40.28,187.25,Closed,False,False,,5.00
TCK-10237,2026-01-07T10:14:00,Returns,Normal,Email,Free,39.67,824.07,Closed,False,True,117.86,5.00
TCK-10238,2025-12-04T13:04:00,Returns,High,Chat,Free,,893.94,Open,False,True,191.45,4.00
TCK-10239,2026-05-29T07:05:00,Billing,Low,Email,Pro,53.93,263.37,Closed,False,False,,5.00
TCK-10240,2025-10-02T10:53:00,Billing,Normal,Email,Pro,19.45,292.96,Open,False,True,301.45,4.00
TCK-10241,2026-01-21T09:51:00,Returns,Low,Email,Free,74.98,427.86,Closed,False,False,,5.00
TCK-10242,2025-12-19T16:02:00,Other,High,Web,Pro,78.18,497.85,Closed,False,False,,4.00
TCK-10243,2025-12-16T10:10:00,Other,High,Phone,Pro,30.63,314.61,Open,False,False,,3.00
TCK-10244,2026-05-23T08:29:00,Shipping,Normal,Web,Pro,35.90,247.36,Closed,False,False,,4.00
TCK-10245,2026-02-23T19:21:00,Billing,Normal,Chat,Pro,36.00,256.32,Closed,False,False,,
TCK-10246,2026-07-15T10:19:00,Shipping,Low,Email,Free,33.03,188.38,Resolved,False,False,,4.00
TCK-10247,2025-10-12T07:36:00,Technical,Low,Phone,Pro,59.61,238.76,Resolved,False,False,,3.00
TCK-10248,2026-04-01T15:46:00,Returns,Low,Email,Free,90.29,554.50,Open,False,True,94.01,4.00
